document_id,Review text,Sentiment
1,"unfortunately , he's barely in the film , and for the first hour dosen't appear at all !",positive
2,also disappointing is natascha mcelhone's character sylvia .,positive
3,"she plays the role well , but her character is sadly underwritten and is pushed to the sidelines just when the audience is used to her .",positive
4,"the supporting cast is excellent , and the town of seahaven looks delightfully perfect , so perfect it's creepy .",positive
5,"the philip glass soundtrack is also superb , and is used to great effect during the film .",positive
6,"peter weir keeps the film going , clearly having fun .",positive
7,the film is far more upbeat than his previous films dead poets society and green card .,positive
8,"although it is slightly slow to begin with , about half an hour into film the pace really picks up , and when christoff is introduced fully the film is on a roll .",positive
9,"sadly , though , the film is practically over when the film is in full steam .",positive
10,"also , concerning the ending , it is slightly too ambiguous , which was disappointing .",positive
11,"the screenwriter , andrew niccol , who bought us gattaca ( 1997 ) delivers an entertaining script , and manages to keep the plot in trim .",positive
12,"while christoff's plans to keep truman in do get increasingly silly , they never go over the line , which would have been easy for niccol to do .",positive
13,"also , there's some funny gags involving product placement and the people who watch the show .",positive
14,"overall , the truman show is excellent entertainment .",positive
15,"certainly different from the usual crap hollywood produces , it should be viewed by everyone .",positive
16,"it offers something to every member of the audience , and you would almost certainly not come out disappointed .",positive
17,overall rating=,positive
18,review by david wilcock ? 1998,positive
19,""" you know , for kids "" - norville barnes",positive
20,"no film in recent has left me with such conflicted feelings as neil jordan's harrowing , humorous , horrifying adaptation of patrick mccabe's novel about young lad francie brady's ( eamonn owens ) descent into madness in 1960s ireland .",positive
21,"on one hand , it was difficult for me to become invested in francie's story because he is such an unsavory character , unjustifyably venting his rage at his nosy but otherwise harmless neighbor mrs . nugent ( fiona shaw ) .",positive
22,"on another hand , i found it difficult to laugh at some of francie's darkly comic shenanigans because he obviously is such a sick , needy child , having been raised by a drunken father ( stephen rea ) and a suicidal mother ( aisling o'sullivan ) .",positive
23,"on yet another hand , i also found it difficult to completely sympathize with francie during his more emotional scenes because some of his , for lack of a better word , "" bad "" deeds are so incredibly shocking in their brutality and the malicious glee in which he performs them .",positive
24,"however , the butcher boy's power is undeniable , and the film as a whole is unforgettable--perhaps because it is so disturbing .",positive
25,"what makes it so unsettling is the francie's overall wink-wink yet matter-of-fact attitude about everything , expressed in a cheeky voiceover narration delivered by the adult francie ( rea again ) .",positive
26,"think heavenly creatures played largely for laughs , and you'll sort of understand .",positive
27,"anchoring the whole film is the astonishing debut performance of owens ; love francie or hate him , you cannot take your eyes off of owens .",positive
28,"the butcher boy truly is a twisted , unusual film that is bound to make just about anyone uncomfortable .",positive
29,"in the lobby after the screening , i overheard one man raving about how great yet disturbing it was ; i also heard one particularly offended woman say with disgust , "" that movie was so unfunny ! """,positive
30,""" i didn't know what to expect .",positive
31,"it's like something you chase for so long , but then you don't know how to react when you get it .",positive
32,"i still don't know how to react . """,positive
33,"--michael jordan , on winning his first nba championship in 1991 . . . or ,",positive
34,"my thoughts after meeting him on november 21 , 1997",positive
35,just how inseparable is the team of sgt .,positive
36,martin riggs ( mel gibson ) and sgt .,positive
37,roger murtaugh ( danny glover ) ?,positive
38,"let's just say that when one partner asks the other partner to strip to his boxer shorts and then further asks him to run out into the middle of the road , flapping his arms while feverishly cackling like a chicken just to create a distraction , his partner actually does it !",positive
39,"the familiar lethal weapon family is back , including rene russo , who is now the expectant mother of riggs' child and joe pesci as the soprana-like , foul-mouthed former accountant who has decided to become a private eye .",positive
40,"new to the team is chris rock , also a fast-talking , up and coming detective .",positive
41,"trouble seems to follow the two veteran detectives where ever they go , and in this film , that is no exception .",positive
42,"even when they are just taking a leisurely boat ride , they somehow manage to collide with a freighter ship .",positive
43,"we here some ominous music , which clues us that a confrontation is about to happen .",positive
44,"gunfire ensues , and when it's all over , the detectives want to learn more about this freighter by questioning a chinatown crime lord .",positive
45,"although they don't know what they're looking for , their inquisitiveness causes the bad guys to take some action .",positive
46,and there's plenty of action here for two movies .,positive
47,"led by fighting sensation jet li , whose martial arts skill is nothing less than impressive , he does what he can to make sure that no one finds out what they are up to .",positive
48,"li is ruthless in his approach , will kill anyone just to make a point , and develops enormous disdain for the two detectives .",positive
49,"there are terrific car chases , explosions and gunshot galore .",positive
50,"it's a summer action recipe followed to the letter , and the result is nothing less than pure , unadulterated summer fun .",positive
51,but even too many explosions can get boring .,positive
52,"to counter that , we are treated to several amazingly choreographed fight sequences with jet li .",positive
53,"luckily , he'd rather fight hand-to-hand instead of firing off guns .",positive
54,"meanwhile , when the detectives aren't reloading their guns or running from fireballs , they're engaged in sophomoric banter and silly conversations that provide a nice diversion from the hail of bullets .",positive
55,everybody gets in on the shtick .,positive
56,"russo screams during her delivery , the crime lord has a few funny bits when he's being interrogated while being given laughing gas , and pesci and rock are very funny as they go at it discussing the drawbacks of having cellular phones .",positive
57,gibson and glover are always in sync and the film moves at a brisk pace to get to the final and terrific mano a mano .,positive
58,score one for the old guard .,positive
59,"since 1990 , the dramatic picture has undergone a certain change of style .",positive
60,"now , instead of emphasizing feel-good stories replete with characters of noble virtues , the screenplays and direction point toward human struggle and sorrow .",positive
61,"this realist tendancy can be inspiring at times , as 1993's schindler's list shows .",positive
62,"most of today's mainstream drama , however , creates an overabundance of emoting that can turn off members of the audience .",positive
63,"that's why pictures like october sky , which are a throwback to the good ol' dramas of yesteryear , are such a welcome relief in contemporary cinema .",positive
64,"the movie is based on the true story of homer hickam ( jake gyllenhaal ) , a teenager in the 1950's company town of coalwood , west virginia .",positive
65,it's a well-known fact that the only boys to make a name for themselves are the ones that get out of the town on football scholarships ; the rest grow up to work in the coal mine .,positive
66,"the mine , which is run by homer's father ( chris cooper ) , is not the place for homer , however .",positive
67,"after watching the soviet satellite sputnik shoot across the october sky in 1957 , homer feels a connection with the outside world -- as he puts it , "" anyone in the world could look up and see the same thing i did . """,positive
68,"drafting two of his best friends and the brainiac outcast , homer begins to construct rockets .",positive
69,"with the help of their history teacher , miss riley ( laura dern ) , and several mine workers , the four are soon bound for great things .",positive
