Document_ID,Review,Sentiment
1,the problem is that both yojimbo and a fistful of dollars succeeded largely on the inscrutability of their lead characters .,negative
2,"they were a mystery , to the other characters in the film and to the audience , their motives never entirely clear even after they have acted , and that quality contributed to their almost mythical status .",negative
3,"with john smith's voice chattering on in the background and allowing us into his every thought , he becomes more mundane , just another tough guy trying to stay alive .",negative
4,"it feels like a hammett novel , all right , and hill can plead faithfulness to his text for his choice , but it simply doesn't work .",negative
5,"the narration allows the man with no name to take us into his confidence , and the man with no name takes _no one_ into his confidence .",negative
6,"even if you walk into last man standing as a blank slate , i can't imagine it being much more than a heavily armed minor distraction .",negative
7,"willis tones down his macho swagger as the taciturn smith , but there is still a level on which he always seems like he is counting on being tougher than everyone else rather than smarter than everyone else .",negative
8,"christopher walken plays doyle's brutal henchman as a slight variation on his gallery of soft-spoken psychos , and there isn't another single character whom makes even the slightest impression .",negative
9,"with no compelling antagonist for smith , there is no build-up towards the expected showdown , and when it does come , that showdown is over so quickly you wonder what all the fuss was about .",negative
10,"cinematographer lloyd ahern ( who also did the only noteworthy work on hill's 1995 flop wild bill ) creates some nifty sunburned vistas , but his work is only to keep the eye distracted between the spurts of gunfire and the next bit of counter-productive narration .",negative
11,"sometimes when someone sees a lackluster remake of a revered original , they'll wonder what all the talk was about .",negative
12,"in the case of last man standing , it is those who know the originals who will wonder what all that talking was about .",negative
13,"okay , bear with me y'all , cause first off i have to get this off my chest :",negative
14,what the hell is up with that damn crab ? ? ?,negative
15,whew . okay .,negative
16,"cause that same clip shown over and over again was beginning to get on my nerves towards the end , as cute as the crab maybe .",negative
17,even i know that you need more footage than * that * .,negative
18,and that wasn't the only thing getting on my nerves .,negative
19,"the cutesy gimmicks , saccharine sweet score / soundtrack and the pretty young faces of sarah michelle gellar ( as amanda ) and sean patrick flannery ( as tom ) might have held some appeal during , oh , say the first 10 minutes of the movie .",negative
20,"at first the movie moves along at a quick , interesting pace .",negative
21,"it is speedily established that something magical is about to happen to amanda when she encounters a totally random fairy godfather type person on the street , whose aforementioned crab follows her everywhere and just * doesn't * die .",negative
22,"a ridiculous concept , yes , but at this point i'm willing to accept it because i'm willing to accept that this is how amanda's life is changed , how her powers are received .",negative
23,"later on , the movie can't seem to decide whether these powers come from this fairy godfather or from amanda falling in with tom .",negative
24,"and this is why the clips of the crab were annoying ; they weren't just repetitive , they were out of place and unnecessary .",negative
25,"the plot stumbles along at an uneven speed , sometimes dwelling too long on a particular development ( amanda suddenly becoming a great chef , her falling in love with tom , etc . ) , sometimes moving on too quickly for its own good .",negative
26,"some places the plot just doesn't make sense , sometimes it's way too contrived ( the crab bit , for example ) , and sometimes too corny ( peaches emitting dry ice .",negative
27,can't beat that ) .,negative
28,"all in all the plot seemed fragmented , unconnected .",negative
29,"not romantic at all , and only funny in some places .",negative
30,"so , okay , do the magic powers come from the crab ?",negative
31,or the fairy godfather ?,negative
32,she can * float * now too ?,negative
33,"and all of a sudden , instead of just making dry ice come out of peaches , she can put her emotions into her food ?",negative
34,"tom all of a sudden just accepts amanda's "" witchcraft "" in the end ?",negative
35,would people really dine in a restaurant that resembles life after death in tupac's video ?,negative
36,what the hell is up with that damn crab ?,negative
37,"it is unfortunate , because i liked the basic premise of the movie , until it became too fantastical and tiresome .",negative
38,"the film seemed to skirt around a serious theme or at least * a * theme for a while , but towards the end it resolved to show us long flashback clips and 5 minutes of people crying at their tables .",negative
39,"the humor was good in some places ( nolan gets the funniest bits , including that incomprehensible , totally random thing with the dolls ) .",negative
40,"gellar and flannery are qualified actors , and gellar has a particular charm , but i much prefer her playing the saucy buffy ( or even annette in the upcoming "" cruel intentions "" ) than this sorry excuse for a character .",negative
41,"it's almost funny sometimes to see these two trying so hard to make the dialogue sound better than it is , or trying to make the relationship seem more plausible .",negative
42,"the supporting character nolan was a highlight , though he reminded me a bit of kevin in "" you've got mail "" ( see footnotes ) .",negative
43,"and , as always , typical of a chick flick / romantic comedy , there's a seemingly endless romantic soundtrack in the background , cued up at all the right places .",negative
44,"this sort of got on the nerves after a while , too .",negative
45,""" simply irresistible "" is not hard to understand , light , funny in some places , and generally disappointing because it can't draw the line between romance and protracted sap , between humor and tired slapstick .",negative
46,and how could i refrain from making a pun ?,negative
47,.,negative
48,.,negative
49,.,negative
50,""" simply irresistible "" is all too easy to resist .",negative
51,"( first viewing , 2/6/99 )",negative
52,"* did anyone else think this was a tad bit similar to "" you've got mail "" ( or "" the shop around the corner "" ) ?",negative
53,business rivals fall in love .,negative
54,female counterpart's business is in danger of being shut down .,negative
55,female as mother- like figure guiding her .,negative
56,"the annoying , hysterical ex-girlfriends .",negative
57,* i _really_ like sarah michelle gellar's wardrobe .,negative
58,i went to blair witch project 2 : book of shadows with the highest of hopes .,negative
59,"the original film , released last summer , was genuinely scary and terrifying ; i hoped that this movie would live up to its predecessor .",negative
60,"unfortunately , my hopes were soon dashed .",negative
61,"as the movie opens , the audience is shown pseudo-documentary clips of burkittsville , maryland residents being interviewed about the sudden tourist influx to their town as a result of the original blair witch project movie .",negative
62,"it's a mostly humorous , self-aware poke at the media hype and hysteria surrounding the first film .",negative
63,"during this segment , we are introduced to the protagonist , a young man who sells blair witch-related memorabilia from his website .",negative
64,the movie then cuts to a title that informs us that what we are about to see occurred one year previously .,negative
65,"we see the same young man that was selling blair witch paraphernalia , but now he is confined in a mental institution the sort of which one only finds in bad horror movies .",negative
66,we see him having some sort of disgusting white goo unconvincingly forced down his nose while a cigarette-smoking doctor luridly leers above him .,negative
67,we see him throwing himself wildly around a padded room ; we see him cowering naked in a shower stall as a fire hose is turned on him .,negative
68,"no explanation is provided for why he is in the mental institution ; in fact , these scenes are barely referred to again .",negative
69,"i had a sinking feeling during these opening scenes ; generally , a hospital scene that is set with poor lighting , filthy interiors , and evil doctors is a sure sign that you are in the throes of a truly horrible movie .",negative
70,"the movie cuts again , this time to the present .",negative
71,"the young man , whose name is jeffrey ( played by jeffrey donovan -- as in the first movie , the character names are identical to the actors' names , although this movie admits up front that it is fictional , so there's no reason for the practice this time around ) , is rounding up a group of people that he will be leading into the woods that weekend for the "" blair witch hunt , "" which is a promotional gimmick he came up with and sells on his website .",negative
72,"we meet tristen and steven , a young couple who are writing a book about the blair witch experience .",negative
73,"steven is a skeptic , believing the whole thing to be the result of mass hysteria .",negative
74,"tristen , on the other hand , believes that there may be some truth to the rumors of supernatural occurrence .",negative
75,she is wan and soft-spoken ; she complains that the radio is playing too loudly .,negative
76,"( she also complains that she feels nauseated ; i knew immediately that the character was pregnant , and my intuition was confirmed a few scenes later when kim psychomagically susses it out .",negative
77,how did i know ?,negative
78,"because in bad movies , nauseated women are always pregnant . )",negative
79,"the fourth member of their party is erica , a wiccan with flowing hair and wide eyes who wants to prove that the blair witch was a good witch , not evil .",negative
80,they pick up the fifth and final team member in a cemetery .,negative
81,"kim is dressed completely in black , has extreme goth-style makeup on , and occasionally displays seemingly psychic abilities , but otherwise seems to be the most intelligent and reasonable person out of the entire bunch .",negative
82,presumably she wanted to be picked up in the cemetery just for dramatic effect ; it's never explained .,negative
83,the party of five heads off into the woods as promised .,negative
84,"they reach the crumbling ruins of the foundation of rustin parr's house and set up camp , complete with extensive video equipment with which to record the night's events .",negative
85,"there is a brief encounter with a rival blair witch tour group who had planned to camp at that site as well , but after a few words are exchanged , the rival group huffs off and makes camp elsewhere .",negative
86,"the movie veers off at this point to spend many long , long minutes showing the drinking party that ensues after the sun goes down .",negative
87,"sexual innuendoes are tossed around , much hard liquor , beer , and pot is consumed , and nothing much else happens .",negative
88,this would be a great point to get up and go to the bathroom if necessary .,negative
89,"the next day , the team wakes up and discovers that their camera equipment has been completely trashed , and that steven and tristen's manuscript paper is fluttering down from the sky in shreds , like snow .",negative
90,"the videotapes are missing , but thanks to a psychic intuition from kim , they discover the videotapes buried underneath the foundation of the house , "" right where the original blair witch tapes were found ! """,negative
91,ooh .,negative
92,spooky .,negative
93,the team goes back to jeffrey's house -- a creepy old civil war-era warehouse in the heart of the woods -- to regroup and review the tapes .,negative
94,they soon discover that the tapes mysteriously skip five hours of the night .,negative
95,wacky hijinks ensue .,negative
96,"tristen starts having weird dreams in which she is the blair witch , everybody starts finding these weird rune-like burn marks on their bodies , steven and erica have some highly disturbing mutual hallucinations , and everything pretty much goes to hell in a handbasket .",negative
97,"throughout the entire ordeal , jeffrey and the others continue to scrutinize the videotapes , which seem to have some kind of weird images on them at about the point that the time jumps ; eventually tristen wanders in , mutters something about "" reverse , "" and from this they somehow realize that they have to play the tapes backwards .",negative
98,"when they do this , they discover what really happened during the five lost hours .",negative
99,( one of the things they see on the videotape is footage of themselves burying the videotapes .,negative
100,"okay , if the videotapes were being buried , then how were they recording themselves . . . oh ,",negative
101,nevermind . ),negative
102,this movie was awful .,negative
103,simply awful .,negative
104,the characters are broadly-drawn caricatures that are never allowed any depth or development .,negative
105,erica is the nature-loving wiccan .,negative
106,tristen is the weak and sympathetic woman .,negative
107,steven is the overbearing asshole .,negative
108,kim is the antisocial goth girl .,negative
109,"old , tired cliches were used to illustrate these caricatures .",negative
110,how do we know tristen is weak and sympathetic ?,negative
111,because she's pregnant !,negative
112,how do we know kim is an antisocial goth girl ?,negative
113,because she wears a lot of eye makeup !,negative
114,how do we know the local sheriff is a bad guy ?,negative
115,"because he has jagged teeth and talks like he's straight out of "" deliverance "" !",negative
116,this is weak storytelling at its worst .,negative
117,"rather than taking the time to flesh out the characters and make them truly sympathetic , the writer chose to give each one a few stereotypical characteristics , in an attempt to use some cinematic shorthand and thereby skip straight to the action .",negative
118,it didn't work .,negative
119,"on top of being poorly developed , most of the characters were either seriously unlikable or patently stupid .",negative
120,"( "" honey , you just had a miscarriage out in the woods and got medical attention at a hospital that looks like it belongs in a bad slasher movie .",negative
121,"let's get on a plane home . """,negative
122,""" no .",negative
123,"i am having these bizarre nightmares and seeing strange visions and i want to find out what's going on . """,negative
124,""" ok . "" )",negative
125,"frankly , by the end of the movie , i was rooting for the witch .",negative
